IE_NAME;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_CODE
Первый Строительный Трест;/upload/iblock/13d/13dfddd95418e88810b905c77c782784.jpg;"  

  О компании:
Закрытое акционерное общество ""Первый Строительный Трест"" основано в марте 2003 года, учредителями которого являются: Группа Компаний ЛЭК (ГК ЛЭК) - лидер среди строительных компаний г. Санкт-Петербурга. ГК ЛЭК основана в 1989 году, в области инвестиций в жилищное строительство работает с 1992 года. За период работы реализовано более 50 проектов. На текущий момент компаниями группы осуществляется инвестирование в проекты общей площадью более 1,3 млн. м2";zao-pervyy-stroitelnyy-trest
ARS Group;/upload/iblock/5d8/5d8dbd9b65fed0b5481016f7491f8da0.png;"<br>
<br>
&nbsp; Компания ARS Group уже не первый год занимается строительством комплексов в Сочи. На счету компании достаточно много успешно реализованных проектов. ARS Group в настоящее время занимается возведением нескольких жилых комплексов бизнес-класса в разных районах Сочи.";ars-group
ФИШТ;/upload/iblock/c85/c85db8f520ddf33e1db0b967fe583d65.png;" 
  ООО ""ФИШТ"" являются застройщиками уникального проекта на побережье Черного моря - современного жилого комплекса «Огни Сочи», который совмещает комфорт проживания в домах бизнес класса, построенных по высоким стандартам безопасности и качества, доступные цены на квартиры, машиноместа, торговые и офисные помещения.
  Проект создан группой компаний, которые занимаются реализацией крупных инвестиционных проектов на рынке недвижимости в ЮФО: ОАО «Садовод» - крупнейшее сельскохозяйственное предприятие Краснодарского края, основанное в 1958 году и в настоящий момент занимающее территорию 1630 га и ООО «Блэк Си Девелопмент» - консалтинговая компания, специализирующаяся на рынке недвижимости ЮФО.";ooo-fisht
Универсал;/upload/iblock/8c2/8c27762b366371e154e7c9e07917d9b6.png;;zao-universal
Оникс;/upload/iblock/175/175c6edf79c9464932bdddde6b610251.png;"<br>
<br>
&nbsp; СК ""Оникс"" строит качественную недвижимость в Сочи. Уже возведенные жилые комплексы и жилые дома пользуются огромной популярностью среди желающих купить недвижимость в Сочи. Компания работает на российском рынке с 2006 года, успешно реализуя свои проекты в области возведения жилых комплексов и жилых домов.<br>
&nbsp; Используя накопленный годами опыт, компания использует только современные технологии в строительстве, которые отвечают всем аспектам комфорта и безопасности. Строительная компания Оникс гарантирует завершение строительства своих объектов в установленные сроки. Среди сданных объектов компании — комплексы жилых домов эконом класса, объединенных под названием ""ОНИКС"", расположенных в престижных районах Сочи с развитой инфраструктурой и близостью к морю. Количество построенных и сданных домов уже перевалило за 15 штук.";stroitelnaya-kompaniya-oniks
Север;/upload/iblock/f86/f86414756913ef09dfcd8544ac9b566f.png;"<br>
&nbsp; ПЖСК «Север» занимается строительством жилых комплексов в Сочи «под ключ». В сферу интересов компании входят строительство, прокладка и налаживание коммуникаций, инжиниринговая деятельность, ремонтно-отделочные работы. Главный проект компании - это построенный и сданный комплекс, состоящий из трёх 19-этажных домов";pzhsk-sever
Сунжа Девелопмент;/upload/iblock/d87/d873cb810e5d655065f67dfaee3b628e.gif;"<div>
	&nbsp; <br>
	&nbsp; Свою деловую активность в сегменте строительства элитной недвижимости Группа Компаний «Сунжа» начала в марте 1999 года с осуществления крупномасштабного инвестиционного проекта по строительству элитного Яхтно-оздоровительного комплекса в поселке Лазаревское, в пригороде Сочи. В настоящий момент Группа Компаний «Сунжа» является одним из крупнейших девелоперов на рынке элитной недвижимости Черноморского побережья России – общий объем портфеля проектов составляет более 500 000 м2. С 2005 года координацию и управления проектами Группы возложены на ООО «Сунжа Девелопмент» - Управляющую инвестиционно – строительную компанию. Ее функции состоят в организации полного комплекса предпроектных работ, оформление исходно-разрешительной документации, проектных, строительных, дизайнерских работ, а также мероприятий, связанных с проведением рекламной компании, продвижение продукта на рынок и взаимодействием с покупателями. Группа Компаний «Сунжа» с момента своего основания взяла курс на разработку и реализацию стратегии направленной на достижение лучших результатов в строительстве элитного жилья класса De LUXE, соответствующему уровню запросов самого искушенного и самого требовательного покупателя недвижимости. Началу осуществления этих амбиционных планов положило строительство элитного Жилого Комплекса «Золотой треугольник» в самом престижном районе города Сочи- «Светлана», в 200 метрах от моря, рядом со знаменитым парком «Дендрарий».
</div>
 <br>";gruppa-kompaniy-sunzha-development
КСК ;/upload/iblock/39e/39e6ef93767daed945bb01f4f814d8e8.jpg;"<div>
 <br>
	 &nbsp; &nbsp;Строительно-инвестиционную компанию ООО ""КСК"" — крупнейшего застройщика в Адлере и Сочи — ценят как лидера и надежного партнера уже в течение восьми&nbsp;лет. Компания работает исключительно с соблюдением законодательства в сфере строительства и сделок с недвижимостью.&nbsp;<br>
	&nbsp; Компания использует в строительстве новейшие технологии, что позволяет продавать квартиры, исключая не только посредников, но и завышенные наценки. Уверенную репутацию компания создала себе не только безупречной работой с клиентами, но и исполнением сложных и серьезных проектов. ""КСК"" принимала непосредственное участие в строительстве&nbsp;многоэтажек бизнес- и эконом-класса, жилых комплексов и бизнес-центров.<br>
 <br>
</div>
 <br>";ooo-ksk-
Кловер Групп;/upload/iblock/f7f/f7fdfc5fdfbd32685cc937e92c6d5912.jpg;"&nbsp; <br>
&nbsp; &nbsp;«Кловер Групп», одна из ведущих инвестиционно-девелоперских компаний России, активно работающая в сегментах офисной, торговой, развлекательной, гостиничной и жилой недвижимости.<br>
 Сегодня компания располагает такими успешными показателями, как широкая география текущих операций, значительный объем активов, находящихся во владении и управлении, уровень диверсификации и качество управления портфелем активов. Деятельность Компании ведется по четырем основным бизнес-направлениям, каждое из которых курирует соответствующее подразделение «Кловер Групп»: «Кловер-Девелопмент», «Кловер-Управление», «Кловер-Развлечение» и «Кловер-Хоспитэлити».<br>
 Объекты «Кловер Групп» - это всегда престижное расположение, удобная планировка, элегантное архитектурное решение, использование высококачественного материала и передовых технологий строительства и инженерии.<br>";investitsionnaya-kompaniya-klover-grupp
Орион Сервис;;<p>Компания занимается реализацией проектов в сфере недвижимости. Являются застройщиками домов премиум класса.</p>;orion-servis
