ID;IBLOCK_ID;IBLOCK_CODE;NAME;DATE_ACTIVE_FROM;ACTIVE_FROM;ACTIVE_TO;IBLOCK_SECTION_ID;PREVIEW_PICTURE;DETAIL_TEXT;CODE;PREVIEW_TEXT;DETAIL_TEXT_TYPE;PREVIEW_TEXT_TYPE;IBLOCK_NAME;WHYNOT;CHECKDATE
366;16;zhsk;"ЖК Рио";;;;;;;;;text;text;ЖСК;;
367;16;zhsk;"ЖК Cherry";;;;;;;;;text;text;ЖСК;;
368;16;zhsk;"ЖК Оникс";;;;;;;;;text;text;ЖСК;;
369;16;zhsk;"ЖК Новый Дом";;;;;;;;;text;text;ЖСК;;
370;16;zhsk;"ЖК Сгутик";;;;;;;;;text;text;ЖСК;;
371;16;zhsk;"ЖК Барселона";;;;;;;;;text;text;ЖСК;;
372;16;zhsk;"ЖК Sky House";;;;;;;;;text;text;ЖСК;;
373;16;zhsk;"ЖК Янтарный";;;;;;;;;text;text;ЖСК;;
374;16;zhsk;"ЖК Green Sail";;;;;;;;;text;text;ЖСК;;
375;16;zhsk;"ЖК Дуэт";;;;;;;;;text;text;ЖСК;;
376;16;zhsk;"ЖК Спутник";;;;;;;;;text;text;ЖСК;;
377;16;zhsk;"ЖК Жан Марин";;;;;;;;;text;text;ЖСК;;
378;16;zhsk;"ЖК Сьюзан";;;;;;;;;text;text;ЖСК;;
379;16;zhsk;"ЖК Блиново";;;;;;;;;text;text;ЖСК;;
380;16;zhsk;"ЖК Райский Уголок";;;;;;;;;text;text;ЖСК;;
381;16;zhsk;"ЖК Приоритет";;;;;;;;;text;text;ЖСК;;
382;16;zhsk;"ЖК Заречный";;;;;;;;;text;text;ЖСК;;
383;16;zhsk;"ЖК Панорама Сочи";;;;;;;;;text;text;ЖСК;;
384;16;zhsk;"ЖК Монако Клаб";;;;;;;;;text;text;ЖСК;;
385;16;zhsk;"ЖК Art House";;;;;;;;;text;text;ЖСК;;
386;16;zhsk;"ЖК Известие";;;;;;;;;text;text;ЖСК;;
387;16;zhsk;"ЖСК Real House";;;;;;;;;text;text;ЖСК;;
388;16;zhsk;"ЖК Мадрид";;;;;;;;;text;text;ЖСК;;
389;16;zhsk;"ЖК Olymp House";;;;;;;;;text;text;ЖСК;;
390;16;zhsk;"ЖК Феникс";;;;;;;;;text;text;ЖСК;;
391;16;zhsk;"ЖК Белые Акации";;;;;;;;;text;text;ЖСК;;
392;16;zhsk;"ЖК Принц";;;;;;;;;text;text;ЖСК;;
393;16;zhsk;"ЖК Орбита";;;;;;;;;text;text;ЖСК;;
